CAT CODE;RUS;KAZ;LEVEL;
Eyelet equipment;Оборудование для установки люверсов;Люверс орнататын жабды_тар;3;
Corner cutter;Обрезчик углов;Б_рыш кескіштер;3;
Roll stand;Подставки под рулоны;Рулон т__ырлары;3;
Raquel;Ракель;Ракель;3;
Paper trimmers;Резаки для бумаги;_а_аз кескіштер;3;
Thermoforming equipment;Термогибочное оборудование;_ыздырып б_ктейтін жабды_тар;3;
Checkout accessories;Аксессуары для кассовых боксов;Кассаны_ керек-жара_ы;3;
Banner fabric;Баннерная ткань;Баннер матасы;3;
Information desks;Визитницы;Есімхат сал_ыштар;3;
Advertising equipment;Выставочное оборудование;К_рме жабды_тары;3;
Blanks for plastic cards;Заготовки для пластиковых карт;Пластик карта бланкілері;3;
Business card holders and stands;Информационные стойки, холдеры, демосистемы;А_паратты_ панель, холдер, демож_йе;3;
Information boards;Информационные табло;А_паратты_ табло;3;
Lottery drums and donation boxes;Лототроны, боксы для голосования и пожертвования;Лототрон, дауыс беретін ж_не сада_а салатын _ораптар;3;
Service and information stickers;Служебно-информационные таблички, наклейки, табло;_ызметтік-а_паратты_ та_тайша, жапсырма, табло;3;
Collectors bags;Сумки инкассаторские, мешки для монет;Инкассатор дорбалары, тиын салатын дорбалар;3;
Accountants;Счетницы для кафе и ресторанов;Кафе, мейрамханаларды_ чек беретін ыдыстары;3;
Label guns;Этикет-пистолеты и аксессуары;Затбелгі жабыстыратын пистолеттер мен оларды_ керек-жара_ы;3;
Adhesive labels;Этикетки, ценники, бирки;Затбелгі, ба_а белгісі;3;
Wind sensors;Датчики ветра;Жел ба_ытын бай_а_ыштар;3;
Drawing boards;Чертежные доски;Сызба сызатын та_тайлар;3;
Geographic maps and atlases;Географические карты и атласы;Географиялы_ карталар мен атластар;3;
Globes;Глобусы;Глобустар;3;
Student record books;Дневники для школы;О_ушыларды_ к_нделігі;3;
Rulers;Линейки;Сыз_ыштар;3;
Geometry rulers set;Наборы чертежные;Сызба сызатын жина_тар;3;
Stretchable exercise notebook covers;Обложки для книг и тетрадей;Д_птер_аптар, кітап_аптар;3;
Pencil cases;Пеналы;_алам сауыттар;3;
Counting materials;Счетные материалы;Есеп материалдары;3;
Protractors;Транспортиры;Транспортирлер;3;
Triangular rulers;Треугольники;_шб_рыштар;3;
Drawing tubes;Тубусы для чертежей;Сызбалар салатын тубус;3;
Colored and foil paper;Цветная бумага и фольга;Т_рлі т_сті _а_аз бен фольга;3;
Cardstock paper;Цветной и белый картон;Т_рлі т_сті ж_не а_ _атырма _а_аз;3;
Drafting compasses for geometry sets;Циркули и готовальни;Циркуль, готовальнялар;3;
Templates and stencils;Шаблоны, трафареты, лекала;_алып, трафарет, лекало;3;
First class kit;Школьные наборы;О_ушыларды_ жина_тары;3;
Date stamps and numberer stamps;Датеры, нумераторы, счетчики;Датер, нумератор, есептеуіштер;3;
Essentials stamp bodies;Оснастки для печатей и штампов, чехлы;М_р мен м_рта_ба жара_тары, _апшы_тары;3;
Rubber stamps and company seals;Штампы и печати;М_рта_балар, м_рлер;3;
Stamp ink refill;Штемпельная краска;Штемпель бояуы;3;
Ink Pads;Штемпельные подушки;Штемпель жасты_тары;3;
Accessories for modding;Аксессуары для моддинга;Моддинг керек-жара_ы;3;
Power supplies;Блоки питания;_уаттандыру блоктары;3;
Videocards;Видеокарты;Видеокарталар;3;
Holders for video cards;Держатели для видеокарт;Видеокарта _ста_ыштар;3;
Hard drives;Жесткие диски и твердотельные накопители;Хард дискілер мен _атты жина_та_ыштар;3;
Sound cards;Звуковые карты;Дыбыс карталары;3;
Computer cases;Корпуса;Корпустар;3;
Fans and cooling;Кулеры и системы охлаждения;Кулер, сал_ындату ж_йелері;3;
Motherboards;Материнские платы;Аналы_ та_шалар;3;
RAM;Оперативная память;Жедел жад карталары;3;
Optical drivers;Оптические приводы;Оптикалы_ жетектер;3;
CPUs;Процессоры;Процессорлар;3;
Grilles and filters for fans;Решетки и фильтры для вентиляторов;Желдеткіштерді_ торлары мен с_згілері;3;
Thermal paste;Термоинтерфейсы;Теомоинтерфейс;3;
Monoblocks;Моноблоки;Моноблоктар;3;
Nettops;Неттопы;Неттоптар;3;
Desktops;Системные блоки;Ж_йелік блоктар;3;
Laptop batteries;Аккумуляторы для ноутбуков;Ноутбук аккумуляторлары;3;
Laptop chargers;Блоки питания для ноутбуков;Ноутбуктарды_ _уат блоктары;3;
Laptop docking stations;Док-станции для ноутбуков;Ноутбуктарды_ док-станциялары;3;
Plugs for connectors;Заглушки для разъемов;Ажырат_ыштарды_ бекіткіштері;3;
Laptop locks;Замки для ноутбуков;Ноутбук __лыптары;3;
Keyboard protectors;Защитные накладки для клавиатуры;Пернета_та_а _ор_аныш т_семелер;3;
Laptop screen protectors;Защитные пленки и стекла для ноутбуков;Ноутбук _йнегіне _ор_аныш _лдірлер;3;
Keyboards for laptops;Клавиатуры для ноутбуков;Ноутбуктерге арнал_ан пернета_талар;3;
Cases for laptops;Корпуса для ноутбуков;Ноутбук корпустары;3;
Coolers and cooling systems for laptops;Кулеры и системы охлаждения для ноутбуков;Ноутбуктерді_ кулерлері, сал_ындату ж_йелері;3;
Laptop matrices;Матрицы для ноутбуков;Ноутбук матрицалары;3;
Notebooks;Ноутбуки;Ноутбуктер;3;
Laptop hinges;Петли для ноутбуков;Ноутбук ілмектері;3;
Laptop stands;Подставки для ноутбуков;Ноутбук т__ырлары;3;
Laptop bags;Сумки и чехлы для ноутбуков;Ноутбук салатын с_мкелер мен _апшы_тар;3;
3D printers;3D-принтеры;3D-принтерлер;3;
IP phones;IP-телефоны;IP-телефондар;3;
Automatic feeders for printers and MFPs;Автоподатчики для принтеров и МФУ;Принтерлер мен КФ_ арнал_ан автоматты _а_аз бергіштер;3;
Accessories for 3D printers;Аксессуары для 3D-принтеров;3D-принтерлерді_ керек-жара_ы;3;
Stitchers;Брошюровщики;Брошюра тігетін __рыл_ылар;3;
Bookletmakers;Буклетмейкеры;Буклетмейкерлер;3;
Document cameras;Документ-камеры;Документ-камералар;3;
Waste ink tanks;Емкости для отработанных чернил;_алды_ сия жинайтын ыдыстар;3;
Cartridges;Картриджи;Картридждер;3;
Portable photo printers;Компактные фотопринтеры;Компактные фотопринтеры;3;
Laminators;Ламинаторы;Ламинаторлар;3;
Mini printers;Мини-принтеры;Мини-принтерлер;3;
Refillable cartridges;Перезаправляемые картриджи;_айта толтырылатын картридждер;3;
Printheads;Печатающие головки;Баспа машинасыны_ _штары;3;
Filaments for 3D printing;Пластик для 3D-печати;3D-баспа_а арнал_ан пластик;3;
Printers for printing plastic cards;Принтеры для печати пластиковых карт;Пластик карта басып шы_аратын принтерлер;3;
MF printers;Принтеры и МФУ;Принтерлер мен КФ_ ;3;
Corded phones;Проводные телефоны;Сымды телефондар;3;
Resetters;Программаторы;Программаторлар;3;
Cutting plotters;Режущие плоттеры;Кескіш плоттерлер;3;
Telephone call recording systems;Системы записи телефонных разговоров;Телефонда_ы __гімені жазып алу ж_йелері;3;
CISS;Системы непрерывной подачи чернил;_здіксіз сия беру ж_йелері;3;
Scanners;Сканеры;Сканерлер;3;
Heat presses;Термопрессы;Термопресс;3;
Printer toners;Тонеры для принтера;Принтерге арнал_ан тонерлер;3;
Stencil machines;Трафаретные станки;Трафарет жасайтын станоктар;3;
Shredders;Уничтожители документов;__жат тура_ыштар;3;
Faxes;Факсы;Факс;3;
Formatters;Форматтеры;Форматтерлер;3;
Drum units;Фотобарабаны;Фотобарабандар;3;
Photopolymer resins for 3D printing;Фотополимерные смолы для 3D-печати;3D баспа_а арнал_ан фитополимер шайыр;3;
Fuser modules;Фьюзерные модули;Фьюзер модулдері;3;
Printer ink;Чернила для принтера;Чернила для принтера;3;
USB Flash drives;USB Flash карты;USB Flash карталар;3;
UPS batteries;Аккумуляторы для ИБП;__К аккумуляторлары;3;
Hardware wallets;Аппаратные кошельки;Аппарат _мияндары;3;
Power supplies for monitors;Блоки питания для мониторов;Мониторларды_ _уат блоктары;3;
Webcams;Веб-камеры;Веб-камералар;3;
External boxes for drives;Внешние боксы для накопителей;Жина_та_ыштарды_ сырт_ы _ораптары;3;
Graphics tablets;Графические планшеты;Графикалы_ планшеттер;3;
Mouse cable holder;Держатели для провода мыши;Тінтуір сымын _ста_ыштар;3;
Holders for wires;Держатели для проводов;Сым _ста_ыштар;3;
Storage drive docking station;Док-станции для накопителей;Жина_та_ыштар_а арнал_ан док-станциялар;3;
UPS;ИБП и стабилизаторы;__К мен т_ра_тандыр_ыштар;3;
Card readers;Картридеры;Картридерлер;3;
Video capture cards;Карты видеозахвата;Видео алу карталары;3;
Memory cards;Карты памяти;Жад карталары;3;
Keycaps for keyboards;Кейкапы для клавиатур;Пернета_та кейкаптары;3;
Keyboards;Клавиатуры;Пернета_та;3;
Mouse pads;Коврики для мыши;Тінтуір кілемшелері;3;
Computer cables and adapters;Компьютерные кабели и переходники;Компьютер сымдары мен жал_а_ыштары;3;
Mounts for monitors;Крепления для мониторов;Монитор бекіткіштер;3;
Microcomputers and accessories;Микрокомпьютеры и аксессуары;Микрокомпьютерлер мен оларды_ керек-жара_ы;3;
Monitors;Мониторы;Мониторлар;3;
Mice;Мыши;Тінтуірлер;3;
Keyboard stickers;Наклейки на клавиатуру;Клавиатура жапсырмалары;3;
Storage devices;Накопители;Жина_та_ыштар;3;
Mouse feet;Ножки для мыши;Тінтуірді_ сира_тары;3;
Optical media;Оптические носители;Оптикалы_ тасымалда_ыштар;3;
Graphics tablet gloves;Перчатки для графических планшетов;Графикалы_ планшеттерге арнал_ан _ол_аптар;3;
Monitor stands;Подставки для мониторов;Монитор т__ырлары;3;
Wrist rests;Подставки под запястье;Білек тірегіштер;3;
Fingerprint scanners;Сканеры отпечатков пальцев;Сауса_ та_басы сканерлері;3;
Bags and mouse cases;Сумки и чехлы для мыши;Тінтіуір салатын с_мкелер мен кейстер;3;
Cases for discs;Футляры для дисков;Диск кейстері;3;
Electronic translators;Электронные переводчики;Электрон аудармашылар;3;
Accessories for styluses;Аксессуары для стилусов;Стилустарды_ керек-жара_ы;3;
Tablet holders;Держатели для планшетов;Планшет _стат_ыштар;3;
Tablets;Планшеты;Планшеттер;3;
Styluses;Стилусы;Стилустар;3;
Tablet cases;Чехлы для планшетов;Планшет _аптары;3;
Bluetooth adapters;Bluetooth адаптеры;Bluetooth адаптерлер;3;
Wireless equipment;Беспроводное оборудование;Сымсыз жабды_;3;
Routers and switches;Коммутаторы и маршрутизаторы;Коммутаторлар мен маршрутизаторлар;3;
Media converters;Медиаконвертеры;Медиаконвертерлер;3;
Gateways;Межсетевые шлюзы;Желіаралы_ б_геттер;3;
Firewalls;Межсетевые экраны;Желіаралы_ экрандар;3;
Patch panels;Патч-панели;Патч-панели;3;
Interface converters;Преобразователи интерфейсов;Интерфейс т_рлендіргіштер;3;
Server power supplies;Серверные блоки питания;Серверлерді_ _уат блоктары;3;
Server cabinets;Серверные шкафы;Сервер шкафтары;3;
Servers;Серверы;Серверлер;3;
Network cards;Сетевые карты;Желі карталары;3;
NAS;Сетевые хранилища;Желілік са_та_ыштар;3;
Satellite Internet;Спутниковый интернет;Спутник интернет;3;
Transceivers;Трансиверы;Трансиверлер;3;
Internet signal boosters;Усилители интернет-сигнала;Интернет сигналын к_шейткіштер;3;
Cellular signal boosters;Усилители сотового сигнала;_ялы байланыс сигналын к_шейткіш;3;
POS systems;POS-системы;POS-системы;3;
Accessories for POS systems;Аксессуары для POS-систем;POS-ж_йелерді_ керек-жара_ы;3;
Barcode scanner accessories;Аксессуары для сканеров штрих-кода;Штрих-код сканерлеріні_ керек-жара_ы;3;
Accessories for commercial scales;Аксессуары для торговых весов;Сауда таразысыны_ керек-жара_ы;3;
Banknote detectors;Детекторы банкнот;Банкнота детекторлары;3;
Electronic cash registers;Кассовые аппараты;Касса аппараттары;3;
Receipt and label printers;Принтеры чеков и этикеток;Чек ж_не затбелгі принтерлері;3;
Barcode scanners;Сканеры штрих-кода;Штрих-код сканерлері;3;
Banknote counters;Счетчики банкнот;Банкнота сана_ыштар;3;
Coin Counters;Счетчики монет;Тиын сана_ыштар;3;
Visitor counters;Счетчики посетителей;Келушілерді сана_ыштар;3;
Data collection terminals;Терминалы сбора данных;Дерек жинау терминалдары;3;
Trade scales;Торговые весы;Сауда таразысы;3;
Solarium accessories;Аксессуары для солярия;Солярий керек-жара_ы;3;
Atomizers;Атомайзеры и флаконы;Автомайзерлер;3;
Makeup and skin care tools;Зеркала косметические;Макияж жаса_анда _арайтын айналар;3;
Organizers cosmetic bags;Органайзеры, косметички и несессеры;Органайзерлер, косметика сал_ыштар мен несессерлер;3;
Children makeup;Детская декоративная косметика;Балалар_а арнал_ан макияж косметикасы;3;
Makeup brush sets and kits;Кисти, спонжи, точилки;_ылша_, спонж, _шта_ыштар;3;
Eyeliners;Контур для глаз;К_з жиегін бояйтын _арындаш;3;
Concealers and neutralizers;Корректоры и консилеры;Корректор, консилер;3;
Foundation primers;Основы и фиксаторы для макияжа;Макияж_а негіз ж_не бекіткіш праймерлер;3;
Lipsticks;Помады, контуры, блески;Далап, контур, жылтырат_ыштар;3;
Powders;Пудры;Опа;3;
Face blushes and bronzers;Румяна, бронзеры, скульптурирующие средства;Е_лік, ніл, _о_ыр ніл;3;
Eyeshadow;Тени для век;_аба_ бояуы;3;
Eyebrow kits;Тени и наборы для бровей;К_з бояу, _ас бояу жиынты_тары;3;
Foundation;Тональные средства;Тон негізі;3;
Mascaras;Тушь;Тушь;3;
Hair removal wax;Воск для депиляции;Депиляция_а арнал_ан балауыз;3;
Wax warmers and paraffin baths;Воскоплавы и парафиновые ванны;Балауыз еріткіштер мен парафин ванналары;3;
Waxing kits;Наборы для депиляции воском;Балауызбен депиляция жасау_а арнал_ан жина_тар;3;
Sugaring paste;Паста для шугаринга;Шугаринг пастасы;3;
Depilation products;Средства для депиляции и эпиляции, расходные материалы;Депиляция мен эпиляция жасау_а арнал_ан __ралдар;3;
Nail drill machines;Аппараты для маникюра и педикюра;Маникюр ж_не педикюр аппараттары;3;
Gel nail polish;Базовое и верхнее покрытие, гель-лаки;Тырна__а жа_атын база, топ, гель-лак;3;
Nail vacuum cleaners;Вытяжки, пылесосы;Ауа тарт_ыш, ша_сор_ыштар;3;
Disinfection for manicure;Дезинфекция;Дезинфекция __ралдары;3;
Nail design;Дизайн ногтей;Тырна_ дизайны;3;
Liquid nail polish remover;Жидкости для нанесения и снятия покрытия;Тырна_ бояуын жа_атын ж_не кетіретін с_йы_тар;3;
Manicure and pedicure tools;Инструменты для маникюра и педикюра;Маникюр мен педикюр жасайтын __рал-сайман;3;
Keratolics and cuticles;Кератолики и кутиклеры;Керетолик, кутиклер;3;
Nail polish;Лаки для ногтей;Тырна_ бояйтын лактар;3;
Nail lamps;Лампы для сушки ногтей;Тырна_ кептіретін лампалар;3;
Oils serums;Масла, сыворотки для ногтей;Тырна__а жа_атын май, сарысу;3;
Consumables for manicure;Расходные материалы для маникюра и педикюра;Маникюр мен педикюр_а ж_мсалатын материалдар;3;
Nail extension system;Система наращивания;Тырна_ жал_а ж_йелері;3;
Nail extension system;Система наращивания;Тырна_ жал_ау ж_йелері;3;
Nail care sets;Стартовый набор для аппаратного маникюра и дезинфекции;Аппаратты_ маникюр мен дезинфекция_а арнал_ан бастап_ы жина_;3;
Sterilizers for manicure tools;Стерилизаторы маникюрных инструментов;Маникюр аспаптарын стерильдеу аппараттары;3;
Products for stamping;Товары для стемпинга;Стемпингке арнал_ан тауарлар;3;
Hair Extension Materials;Инструменты и материалы для наращивания волос;Шаш жал_ау_а арнал_ан __ралдар мен материалдар ;3;
Training dummies;Манекены тренировочные;Жатты_у манекендері;3;
Hair cutting shears;Ножницы парикмахерские;Ножницы парикмахерские;3;
Wigs and hairpieces;Парики, шиньоны, канекалон;Парик, шиньон, канекалондар;3;
Hairdressing supplies;Парикмахерские принадлежности;Шаштараз жабды_тары;3;
Dryers and climazones;Сушуары и климазоны;Шаш кептіргіштер мен климазоналар;3;
Eyebrow tools and accessories;Инструменты и аксессуары;__рал-саймандар мен керек-жара_;3;
Eyebrow and eyelash lamination;Косметика для наращивания и ламинирования;Кірпік жал_ау мен ламинаттау_а арнал_ан косметика;3;
Eyelash extension products;Накладные ресницы;Жал_амалы кірпік;3;
Eyebrow Tinting Products;Товары для окрашивания;_ас пен кірпік бояуы;3;
Eyebrow pencils;Уходовая и декоративная косметика для бровей и ресниц;_ас пен кірпік к_тімі ж_не макияжы;3;
Accessories for massagers;Аксессуары для массажеров;Массаж жасайтын __рыл_ыларды_ керек-жара_ы;3;
Hydrotherapy massagers;Гидромассажеры;Гидромассаж жасайтын __рыл_ылар;3;
Massage chairs;Массажные кресла;Массаж жасайтын орынды_тар;3;
Massage mats and pillows;Массажные приборы, акупунктурные массажеры;Массаж жасайтын __ралдар, акупунктуралы_ массажерлер;3;
Mesoscooters;Механические массажеры, роллеры, скребки;Механикалы_ массажерлер, роллер, ыс_ыштар;3;
Massage tables;Массажные столы;Массаж жасайтын _стелдер;3;
Salon chairs and stools;Парикмахерское оборудование;Шаштараз жабды_тары;3;
Tool tables;Столики инструментальные;Аспаптар _оятын ша_ын _стелдер;3;
Shaving heads and foils;Бритвенные головки и сетки;Са_ал _ыр_ыштарды_ _штары мен торлары;3;
Piercing Tools;Инструменты для пирсинга;Пирсинг жасайтын __рал-саймандар;3;
Facial cleansing devices;Малая косметологическая техника;Ша_ын косметологиялы_ техника;3;
Hair clippers;Машинки для стрижки волос;Шаш _иятын машинкалар;3;
Body weight scales;Напольные весы;Еденге _ойылатын таразы;3;
Hair dryer attachments;Насадки для фена;Шаш кептіргішті_ _ыстыр_ыштары;3;
Nozzles and accessories for clippers;Насадки и аксессуары к машинкам для стрижки;Шаш алатын машинкаларды_ керек-жара_ы;3;
Hardware cosmetology;Оборудование для аппаратной косметологии;Аппаратты_ косметология жабды_тары;3;
Hair dryers;Фены;Шаш кептіргіштер;3;
Refrigerators for cosmetics;Холодильники для косметики;Косметика са_тайтын то_азыт_ыштар;3;
Hair crimpers;Щипцы;_ыс_ыштар;3;
Hot hair rollers;Электробигуди;Электр бигуди;3;
Shavers;Электробритвы;Электр _старалар;3;
Epilators;Эпиляторы;Эпиляторлар;3;
Aromatherapy and essential oils;Масла и эфирные масла;Май ж_не эфир майлары;3;
Razors and blades;Бритвенные станки и лезвия;Са_ал _ыр_ыш, _стра;3;
Mens shaving products;Средства до и после бритья;_ырын_ан_а дейін ж_не одан кейін жа_атын заттар;3;
Power sources for tattoo machines;Источники питания для тату машинок;Тату жасайтын машиналарды_ _уат к_зі;3;
Permanent makeup pigments;Пигменты для перманентного макияжа;Перманент макияж бояулары;3;
Consumables for permanent makeup;Расходные материалы для перманентного макияжа;Перманент макияж_а ж_мсайтын материалдар;3;
Consumables for tattoo;Расходные материалы для тату;Тату_а ж_мсалатын материалдар;3;
Tattoo machines;Тату-машинки;Тату жасайтын машиналар ;3;
Hair color products;Краска и оттеночные средства для волос;Шаш бояуы;3;
Hair masks;Маски и бальзамы для волос;Шаш_а жа_атын маска, бальзамдар;3;
Hair color developers;Окислители для краски;Бояу тоты_тандыр_ыш;3;
Hair color additives;Оттеночные средства для волос;Шаш_а ре_ беретін __ралдар;3;
Hair brushes;Расчески и щетки для волос;Тара_;3;
Scrubs and peels for hair;Скрабы и пилинги для кожи головы;__й_а_а арнал_ан скраб, пилинг __ралдары;3;
Compositions for straightening;Составы для выпрямления и восстановления волос;Шашты т_зеп, _алпына келтіретін _оспалар;3;
Hair fixation sprays;Средства для укладки;Шаш бекітетін __ралдар;3;
Hair care products;Средства по уходу за волосами;Шаш к_тіміне арнал_ан __ралдар;3;
Dry hair shampoos;Сухие шампуни для волос;__р_а_ шампуньдер;3;
Men beard and mustache care;Уход за бородой и усами;Са_ал-м_рт_а к_тім жасау __ралдары;3;
Hair shampoos;Шампуни для волос;Шаш жуатын шампунь;3;
Cotton pads and stems;Ватные палочки и диски;Ма_та д__гелектер мен тая_шалар;3;
Cosmetic tweezers;Косметологические инструменты;Косметология __рал-саймандары;3;
Creams;Кремы и сыворотки;Кремдер мен сарысулар;3;
Facial masks;Маски для лица;Бетке к_тім жасайтын маскалар;3;
Patches;Патчи;Патч;3;
Matting napkins;Салфетки матирующие и для снятия макияжа;Макияж с_ртетін, бетті_ майын кетіретін майлы_тар;3;
Scrubs and peelings;Скрабы и пилинги;Пилинг, скрабтар;3;
Makeup remover;Средства для снятия макияжа;Бет бояуын кетіретін __ралдар;3;
Makeup removers;Средства для умывания и очищения;Бет жуатын, бет тазартатын __ралдар;3;
Lip care products;Средства для ухода за кожей губ;Ерінге к_тім жасау __ралдары;3;
Lotions;Тоники, тонеры, термальная вода;Тоник, тонер, термал су;3;
Toothpaste;Зубные пасты, гели, порошки;Тіс пастасы, гель, _нта_тары;3;
Toothbrushes;Зубные щетки и аксессуары;Тіс щеткалары мен керек-жара_ы;3;
Water flossers;Ирригаторы;Ирригаторлар;3;
Replacement toothbrush heads;Насадки для электрических зубных щеток и ирригаторов;Электр тіс щеткалары мен ирригаторларды_ ауыспалы бастары;3;
Mouthwashes;Ополаскиватели для полости рта, воск для брекетов;Ауыз _уысын шай_айтын с_йы_тар;3;
Teeth whitening kits;Отбеливание зубов;Тіс а_арту __ралдары;3;
Toothbrush sterilizer;Стерилизаторы для зубных щеток;Тіс щеткаларын стерильдейтін __рыл_ылар;3;
Electric toothbrushes;Электрические зубные щетки;Электр тіс щеткалары;3;
Bath products;Бомбочки и соль для ванны;Ванна_а салатын _німдер;3;
Sanitary napkins;Гигиенические прокладки и тампоны;Гигиеналы_ т_семелер мен тампондар;3;
Deodorants;Дезодоранты, антиперспиранты;Дезодорант, антиперспирант;3;
Body creams;Кремы, масла и сыворотки для тела;Денеге жа_атын крем, май, сарысу;3;
Cosmetic paraffin;Парафин косметический;Косметикалы_ парафин;3;
Bath foam;Пена, масло для ванны;Ванна_а салатын к_бік, май;3;
Body scrubs;Скрабы и пилинги для тела;Денеге арнал_ан скраб, пилинг;3;
Bath and shower gels;Средства для душа;Душ_а арнал_ан __ралдар;3;
Anti-cellulite products;Средства против целлюлита и растяжек;Целлюлит пен теріні_ созылып кетуіне _арсы __ралдар;3;
Skin care accessories;Щетки для массажа, мочалки;Массаж жасайтын ыс_ыш, ж_ке;3;
Bathroom furniture sets;Комплекты для ванной;Жуынатын б_лме жиынты_тары;3;
Wall hooks and hangers;Крючки и вешалки настенные;_абыр_а_а _а_ылатын ілмектер мен киім ілгіштер;3;
Sink cabinets;Тумбы под раковину;_олжу_ышты_ астына _оятын тумбалар;3;
Bathroom wardrobes;Шкафы в ванную;Жуынатын б_лмеге _ойылатын шкафтар;3;
Living room sets;Гостиные гарнитуры;_она_ б_лме гарнитуралары;3;
Sofas;Диваны и комплекты мягкой мебели;Дивандар мен ж_мса_ жи_аз жина_тары;3;
Coffee tables;Журнальные столики;Журнал _стелдері;3;
Console table;Консольные столы;Консоль _стелдері;3;
Armchairs;Кресла;Креслолар;3;
Inflatable furniture;Надувная мебель;_рленетін жи_аз;3;
Poufs;Пуфы, банкетки, оттоманки;Пуф, банкетка, оттоманка;3;
Modular living rooms;Стенки, горки, комплекты для гостиной;_она_ б_лме гарнитуралары;3;
TV stands;ТВ-тумбы;ТВ-тумбалар;3;
Sideboards and buffets;Шкафы-витрины;С_ре шкафтар;3;
Changing dressers;Детские комоды;Балаларды_ комодтары;3;
Kids chairs and sofas;Детские кресла и диваны;Балаларды_ диван, креслолары;3;
Cribs;Детские кровати, манежи, колыбели;Балаларды_ т_сектері, манеж, бесіктер;3;
Mattresses;Детские матрасы и коконы;Балалар_а арнал_ан матрас, пілл_;3;
Kids desks;Детские столы и парты;Балалар_а арнал_ан _стел, парталар;3;
Childrens chairs and stools;Детские стулья и табуреты;Балаларды_ орынды_тары;3;
Kids room sets;Комплекты в детскую комнату;Балалар б_лмесіне арнал_ан жина_тар;3;
Bar tables;Барные столы;Бар _стелдері;3;
Kitchen sets;Кухонные гарнитуры;Ас_й гарнитуралары;3;
Kitchen countertops;Кухонные столешницы;Ас_й _стелдеріні_ беті;3;
Kitchen corner seating;Кухонные уголки;Ас_й б_рыштары;3;
Kitchen cabinets;Кухонные шкафы и корпуса;Ас_й шкафтары мен корпустары;3;
Dining sets;Обеденные группы;Ас ішетін _стел-орынды_ жина_тары;3;
Dinner tables;Обеденные столы;Ас ішетін _стелдер;3;
Cutting table;Разделочные столы, подтоварники, подставки под оборудование;Тама_ істейтін _стелдер;3;
Serving tables;Сервировочные столы;Дастархан жасайтын _стелдер;3;
Kitchen chairs;Стулья;Ас_й орынды_тары;3;
Office furniture sets;Комплекты офисной мебели;Ке_се жи_азы жина_тары;3;
Desk chairs;Компьютерные и офисные кресла;Компьютер ж_не ке_се креслолары;3;
Computer desks;Компьютерные столы;Компьютер _стелдері;3;
Office cabinets;Офисные тумбы;Ке_се тумбалары;3;
Writing desks;Письменные столы;Жазу _стелдері;3;
Footrests;Подставки под ноги;Ая_ _ой_ыштар;3;
Reception;Ресепшены;Ресепшн _стелдері;3;
Bookcases;Стеллажи;Стеллаждар;3;
Tribunes classic;Трибуны классические;Классикалы_ мінберлер;3;
Entrance hanging shelves;Вешалки в прихожую;Кіреберіске _ойылатын киімілгіш;3;
Hall wardrobes;Не добавлять товар;Не добавлять товар;3;
Shoe cabinets;Тумбы для обуви и обувницы;Ая_ киім _оятын тумбалар;3;
Hallway furniture sets;Шкафы для прихожей и комплекты;Кіреберіске _ойылатын шкаф жина_ы;3;
Shoe shelves;Этажерки для обуви;Ая_ киім _оятын этажеркалар;3;
Wall shelves;Полки навесные;_абыр_а_а ілінетін с_релер;3;
Storage systems;Системы хранения;Зат са_тау ж_йелері;3;
Chests;Сундуки;Санды_тар;3;
Shelves;Этажерки универсальные;_мбебап этажеркалар;3;
Bedroom dressers;Комоды;Комодтар;3;
Beds;Кровати;Т_сектер;3;
Bedroom mattresses;Матрасы;Матрастар ;3;
Bedroom sets;Спальные гарнитуры;Жатын б_лме гарнитурлары;3;
Dressing tables;Туалетные столики;Туалетные столики;3;
Nightstands;Тумбы прикроватные;Т_сек жанына _оятын тумбалар;3;
Wardrobes;Шкафы;Шкафтар;3;
Accessories for economy panels;Аксессуары для торговых панелей;Сауда панельдеріні_ керек-жара_ы;3;
Hung trade;Вешала торговые;Сауда ілгіштері;3;
Checkout counters;Кассовые боксы;Касса бокстары;3;
Distribution line for public catering;Линия раздачи для общепита и элементы;Тама_ тарату желілері;3;
Pallets;Паллеты, Поддоны;Паллеттер;3;
Fitting cabins;Примерочные кабины;Киім киіп к_ретін кабиналар;3;
Indoor benches;Скамейки для учреждений;Мекемелерге арнал_ан отыр_ыштар;3;
Workshop racks;Стеллажи складские и торговые;_ойма ж_не сауда стеллаждары;3;
Rack perforated;Стойки перфорированные;Перфорациялан_ан т__ырлар;3;
Trade showcases;Торговые витрины;Сауда витриналары;3;
Trading baskets;Торговые корзины;Сауда себеттері;3;
Panels mesh;Торговые панели-сетки;Сауда тор-панелдері;3;
Refrigerants;Хладагенты;Суытатын агенттер ;3;
Metal cabinets;Шкафы металлические;Металл шкафтар;3;
Econompanel;Экономпанели, кросспанели, перфорированные панели;Экономпанель, кросспанель, перфопанелдер;3;
Bed canopies;Балдахины и опоры для кроваток;Бесік т_секті_ тіреуіштері мен ба_аналары;3;
Furniture components;Комплектующие для мебели;Жи_азды_ _осал_ы жабды_тары;3;
Accessories for modular kitchens;Комплектующие для модульной кухни;Модуль ас_йді_ _осал_ы б_лшектері;3;
Furniture weaving;Материалы для плетения мебели;Жи_аз то_у_а арнал_ан материалдар;3;
Pendulum for baby cribs;Маятники для детских кроваток;Бесік тербегіштер;3;
